s_city_id,s_lon,s_lat,Colonne1,e_City,e_lat,e_lon,Column1
101,-8.389,30.899,505,Rabat,34.02236,-6.8340222,
102,-8.389,30.898,505,Rabat,34.02236,-6.8340222,
103,-8.389,30.898,505,Rabat,34.02236,-6.8340222,
104,-8.389,30.899,505,Rabat,34.02236,-6.8340222,
105,-8.388,30.899,403,Fes,34.0346534,-5.0161926,
106,-8.388,30.9,403,Fes,34.0346534,-5.0161926,
107,-8.388,30.9,403,Fes,34.0346534,-5.0161926,
108,-8.388,30.9,505,Rabat,34.02236,-6.8340222,
109,-8.388,30.9,505,Rabat,34.02236,-6.8340222,
110,-8.388,30.9,505,Rabat,34.02236,-6.8340222,
111,-8.388,30.899,505,Rabat,34.02236,-6.8340222,
112,-8.388,30.899,505,Rabat,34.02236,-6.8340222,
113,-8.388,30.9,505,Rabat,34.02236,-6.8340222,
114,-8.388,30.9,505,Rabat,34.02236,-6.8340222,
115,-8.388,30.9,505,Rabat,34.02236,-6.8340222,
116,-8.388,30.901,505,Rabat,34.02236,-6.8340222,
117,-8.384,30.9,505,Rabat,34.02236,-6.8340222,
118,-8.384,30.9,505,Rabat,34.02236,-6.8340222,
119,-8.385,30.9,505,Rabat,34.02236,-6.8340222,
120,-8.383,30.899,505,Rabat,34.02236,-6.8340222,
121,-8.425,30.9,505,Rabat,34.02236,-6.8340222,
122,-8.426,30.901,505,Rabat,34.02236,-6.8340222,
123,-8.426,30.901,505,Rabat,34.02236,-6.8340222,
124,-8.426,30.9,505,Rabat,34.02236,-6.8340222,
125,-8.426,30.9,505,Rabat,34.02236,-6.8340222,
126,-8.426,30.901,505,Rabat,34.02236,-6.8340222,
127,-8.426,30.901,505,Rabat,34.02236,-6.8340222,
128,-8.426,30.901,505,Rabat,34.02236,-6.8340222,
129,-8.428,30.9,505,Rabat,34.02236,-6.8340222,
130,-8.428,30.9,505,Rabat,34.02236,-6.8340222,
131,-8.428,30.9,505,Rabat,34.02236,-6.8340222,
132,-8.442,30.897,505,Rabat,34.02236,-6.8340222,
133,-8.442,30.897,505,Rabat,34.02236,-6.8340222,
134,-8.442,30.897,505,Rabat,34.02236,-6.8340222,
135,-8.442,30.897,505,Rabat,34.02236,-6.8340222,
136,-8.442,30.897,505,Rabat,34.02236,-6.8340222,
137,-8.442,30.897,505,Rabat,34.02236,-6.8340222,
138,-8.441,30.897,505,Rabat,34.02236,-6.8340222,
140,-8.442,30.897,505,Rabat,34.02236,-6.8340222,
141,-8.442,30.897,505,Rabat,34.02236,-6.8340222,
142,-8.442,30.897,505,Rabat,34.02236,-6.8340222,
143,-8.442,30.897,505,Rabat,34.02236,-6.8340222,
144,-8.442,30.897,505,Rabat,34.02236,-6.8340222,
145,-8.442,30.898,505,Rabat,34.02236,-6.8340222,
146,-8.442,30.897,505,Rabat,34.02236,-6.8340222,
147,-8.442,30.897,505,Rabat,34.02236,-6.8340222,
148,-8.442,30.897,505,Rabat,34.02236,-6.8340222,
149,-8.442,30.897,505,Rabat,34.02236,-6.8340222,
150,-8.442,30.897,302,Casablanca,33.5945144,-7.6200284,
151,-8.442,30.898,302,Casablanca,33.5945144,-7.6200284,
152,-8.442,30.898,302,Casablanca,33.5945144,-7.6200284,
153,-8.442,30.898,302,Casablanca,33.5945144,-7.6200284,
154,-8.442,30.898,302,Casablanca,33.5945144,-7.6200284,
155,-8.442,30.898,302,Casablanca,33.5945144,-7.6200284,
156,-8.442,30.898,302,Casablanca,33.5945144,-7.6200284,
157,-8.442,30.898,302,Casablanca,33.5945144,-7.6200284,
158,-8.443,30.898,505,Rabat,34.02236,-6.8340222,
159,-8.443,30.898,505,Rabat,34.02236,-6.8340222,
160,-8.443,30.898,505,Rabat,34.02236,-6.8340222,
161,-8.443,30.898,505,Rabat,34.02236,-6.8340222,
162,-8.443,30.898,505,Rabat,34.02236,-6.8340222,
163,-8.443,30.898,505,Rabat,34.02236,-6.8340222,
164,-8.443,30.898,505,Rabat,34.02236,-6.8340222,
165,-8.443,30.898,505,Rabat,34.02236,-6.8340222,
166,-8.443,30.898,505,Rabat,34.02236,-6.8340222,
167,-8.443,30.898,505,Rabat,34.02236,-6.8340222,
168,-8.443,30.898,505,Rabat,34.02236,-6.8340222,
169,-8.444,30.898,505,Rabat,34.02236,-6.8340222,
170,-8.443,30.898,505,Rabat,34.02236,-6.8340222,
171,-8.444,30.898,505,Rabat,34.02236,-6.8340222,
172,-8.444,30.898,505,Rabat,34.02236,-6.8340222,
173,-8.444,30.899,505,Rabat,34.02236,-6.8340222,
174,-8.444,30.898,505,Rabat,34.02236,-6.8340222,
175,-8.443,30.898,505,Rabat,34.02236,-6.8340222,
176,-8.443,30.898,505,Rabat,34.02236,-6.8340222,
177,-8.444,30.898,505,Rabat,34.02236,-6.8340222,
178,-8.444,30.899,505,Rabat,34.02236,-6.8340222,
179,-8.444,30.899,505,Rabat,34.02236,-6.8340222,
180,-8.444,30.899,505,Rabat,34.02236,-6.8340222,
181,-8.445,30.899,505,Rabat,34.02236,-6.8340222,
182,-8.444,30.899,505,Rabat,34.02236,-6.8340222,
183,-8.442,30.897,505,Rabat,34.02236,-6.8340222,
184,-8.442,30.897,505,Rabat,34.02236,-6.8340222,
185,-8.442,30.897,505,Rabat,34.02236,-6.8340222,
186,-8.442,30.897,505,Rabat,34.02236,-6.8340222,
187,-8.466,30.896,505,Rabat,34.02236,-6.8340222,
188,-8.466,30.896,505,Rabat,34.02236,-6.8340222,
189,-8.466,30.896,505,Rabat,34.02236,-6.8340222,
190,-8.466,30.896,505,Rabat,34.02236,-6.8340222,
191,-8.466,30.897,505,Rabat,34.02236,-6.8340222,
192,-8.467,30.897,505,Rabat,34.02236,-6.8340222,
193,-8.467,30.897,505,Rabat,34.02236,-6.8340222,
194,-8.467,30.897,505,Rabat,34.02236,-6.8340222,
195,-8.467,30.897,505,Rabat,34.02236,-6.8340222,
196,-8.467,30.897,505,Rabat,34.02236,-6.8340222,
197,-8.467,30.897,505,Rabat,34.02236,-6.8340222,
198,-8.467,30.897,505,Rabat,34.02236,-6.8340222,
199,-8.467,30.897,505,Rabat,34.02236,-6.8340222,
200,-8.467,30.897,505,Rabat,34.02236,-6.8340222,
201,-8.468,30.897,505,Rabat,34.02236,-6.8340222,
202,-8.468,30.897,505,Rabat,34.02236,-6.8340222,
203,-8.468,30.897,505,Rabat,34.02236,-6.8340222,
